,date,title,url,index,index_similarity,title_similar_index
3038,2022.05.20.,"우크라 검찰, 첫 전범재판서 무기징역 구형... 러 병사는 용서 구해",http://www.newspim.com/news/view/20220520000001,3038$,"3038$우크라 검찰, 첫 전범재판서 무기징역 구형... 러 병사는 용서 구해",[]
3039,2022.05.11.,"""1천원 안 줘서"" 행인 살해한 30대, 2심도 징역 20년",http://www.newsis.com/view/?id=NISX20220511_0001866991&cID=10201&pID=10200,3039$,"3039$""1천원 안 줘서"" 행인 살해한 30대, 2심도 징역 20년",[]
3040,2022.05.20.,술 마시다 지인 흉기로 살해한 20대 베트남인 항소심서 징역 9→15년형,https://www.news1.kr/articles/?4686637,3040$,3040$술 마시다 지인 흉기로 살해한 20대 베트남인 항소심서 징역 9→15년형,[]
3041,2022.05.11.,"“내 강아지 내놔, 뒷일 책임 못진다” 친모 협박, 살해하려 한 아들",https://www.chosun.com/national/regional/2022/05/11/OTUZ4FFIAREIXIJWCUZBOWNETE/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,3041$,"3041$“내 강아지 내놔, 뒷일 책임 못진다” 친모 협박, 살해하려 한 아들",[]
3043,2022.05.03.,"모친 잔소리하자 ""악마 같다""며 살해…30대 아들 징역 15년 확정",https://www.news1.kr/articles/?4668414,3043$,"3043$모친 잔소리하자 ""악마 같다""며 살해…30대 아들 징역 15년 확정",[]
3044,2022.05.13.,[우크라 침공] 러시아 군인 첫 전범재판…민간인 살해 시인,https://www.yna.co.kr/view/AKR20220513164600108?input=1195m,3044$,3044$[우크라 침공] 러시아 군인 첫 전범재판…민간인 살해 시인,[]
3045,2022.05.17.,잠 깨웠다며 핀잔하는 친구를 찔렀다… 20대 징역 3년,https://www.joongang.co.kr/article/25071784,3045$,3045$잠 깨웠다며 핀잔하는 친구를 찔렀다… 20대 징역 3년,[]
3046,2022.05.16.,지속된 가정폭력의 결말…어머니 때린 父 살해한 아들,https://news.kmib.co.kr/article/view.asp?arcid=0017082213&code=61121311&cp=nv,3046$,3046$지속된 가정폭력의 결말…어머니 때린 父 살해한 아들,[]
3047,2022.05.19.,"우크라檢, 첫 러군 전범 재판서 '무기징역' 구형",https://www.news1.kr/articles/?4686266,3047$,"3047$우크라檢, 첫 러군 전범 재판서 '무기징역' 구형",[]
3048,2022.05.18.,"층간소음 불만에 이웃 2명 살해하고 ""심신미약""?…법원 판단은",http://news.mt.co.kr/mtview.php?no=2022051807521418580,3048$,"3048$층간소음 불만에 이웃 2명 살해하고 ""심신미약""?…법원 판단은",[]
3049,2022.05.13.,금전 문제로 다투다 부친 살해…40대 남성 징역 20년,https://www.news1.kr/articles/?4679243,3049$,3049$금전 문제로 다투다 부친 살해…40대 남성 징역 20년,[]
3050,2022.05.17.,"법원, '8살 딸 학대·살해' 부부에 '아들 학대' 1년형 추가",https://www.ytn.co.kr/_ln/0103_202205171043307109,3050$,"3050$법원, '8살 딸 학대·살해' 부부에 '아들 학대' 1년형 추가",[]
3051,2022.05.11.,"""왜 천원 안빌려줘"" 처음 본 행인 살해 40대…항소심서 징역 20년",https://news.imaeil.com/page/view/2022051117205801725,3051$,"3051$""왜 천원 안빌려줘"" 처음 본 행인 살해 40대…항소심서 징역 20년",[]
3052,2022.05.24.,"""집수리 왜 안 해줘"" 집주인 살해한 세입자…검찰, 징역 15년 구형",https://lawtalknews.co.kr/article/S708QHJJQRK0,3052$,"3052$""집수리 왜 안 해줘"" 집주인 살해한 세입자…검찰, 징역 15년 구형",[]
3054,2022.05.12.,잔소리하는 친할머니 살해 혐의 10대…2심도 중형,http://www.newsis.com/view/?id=NISX20220512_0001867822&cID=10810&pID=10800,3054$,3054$잔소리하는 친할머니 살해 혐의 10대…2심도 중형,[]
3055,2022.05.11.,제주 중학생 살해사건 항소 기각…2심도 징역 30년·27년,https://www.khan.co.kr/national/court-law/article/202205111546001,3055$,3055$제주 중학생 살해사건 항소 기각…2심도 징역 30년·27년,[]
3056,2022.05.18.,"'배신감 때문에..' 지인 흉기 살해한 60대, 항소심도 '징역 20년'",http://www.domin.co.kr/news/articleView.html?idxno=1382678,3056$,"3056$'배신감 때문에..' 지인 흉기 살해한 60대, 항소심도 '징역 20년'",[]
3057,2022.05.18.,독일의 전범 처벌에 중단은 없다…101세에 징역 5년 구형,https://www.news1.kr/articles/?4683787,3057$,3057$독일의 전범 처벌에 중단은 없다…101세에 징역 5년 구형,[]
3058,2022.05.16.,"‘어머니 폭행한’ 아버지 둔기로 살해한 아들, 항소심도 징역 5년",https://www.seoul.co.kr/news/newsView.php?id=20220516500120&wlog_tag3=naver,3058$,"3058$‘어머니 폭행한’ 아버지 둔기로 살해한 아들, 항소심도 징역 5년",[]
3059,2022.05.22.,"남편 두명에 시모까지 ‘농약살해’… 10억 보험금 타 ‘VIP 행세’ [보험 실화, 놈놈놈 <1부> 나쁜 놈]",http://www.fnnews.com/news/202205221807116373,3059$,"3059$남편 두명에 시모까지 ‘농약살해’… 10억 보험금 타 ‘VIP 행세’ [보험 실화, 놈놈놈 <1부> 나쁜 놈]",[]
3060,2022.05.24.,공원서 술마시다 지인과 말다툼 흉기 휘두른 60대 징역 '1년6월',http://www.kihoilbo.co.kr/news/articleView.html?idxno=980967,3060$,3060$공원서 술마시다 지인과 말다툼 흉기 휘두른 60대 징역 '1년6월',[]
3061,2022.05.14.,"침공 후 첫 법정 선 러시아 군인, '민간인 살해' 인정했다",https://news.sbs.co.kr/news/endPage.do?news_id=N1006750292&plink=ORI&cooper=NAVER,3061$,"3061$침공 후 첫 법정 선 러시아 군인, '민간인 살해' 인정했다",[]
3063,2022.05.19.,"전 여친과 만나는 남성 살해한 50대, 항소심도 중형",http://www.domin.co.kr/news/articleView.html?idxno=1382874,3063$,"3063$전 여친과 만나는 남성 살해한 50대, 항소심도 중형",[]
