,date,title,url,처벌,범죄_키워드,가해자_나이대,피해자,가해자
88,2022.02.03.,빚 독촉 시달리다 부모 살해 시도한 40대 징역 7년,http://www.segye.com/content/html/2022/02/03/20220203502955.html?OutUrl=naver,징역 7년,"['독촉', '살해', '시도', '징역']",40,부모,자식
89,2022.02.16.,"장인 앞에서 아내 일본도로 살해한 40대男, 오늘 1심 선고",http://www.edaily.co.kr/news/newspath.asp?newsid=01269366632231176,,"['장인', '일본도', '살해', '오늘', '선고']",40,아내,남편
90,2022.02.18.,"장인 앞에서 일본칼로 아내 살해한 40대 남성, 징역 20년 판결받자 항소",http://moneys.mt.co.kr/news/mwView.php?no=2022021810278037146,징역 20년,"['장인', '살해', '남성', '징역', '판결', '항소']",40,아내,남편
91,2022.02.16.,별거 중인 아내 흉기로 살해한 50대 남성 징역 20년,https://www.ytn.co.kr/_ln/0103_202202161913230868,징역 20년,"['별거', '중인', '흉기', '살해', '남성', '징역']",50,아내,남편
92,2022.02.11.,"""술 조금만 먹으라"" 꾸지람에 격분, 90대 노모 살해한 아들 징역 14년 확정",https://www.news1.kr/articles/?4580718,징역 14년,"['조금', '꾸지람', '격분', '살해', '징역', '확정']",90,노모,아들
93,2022.02.10.,"부모·형 살해한 30대... 경찰 “김씨 어머니, 지난해 3월 실종 신고”",https://www.seoul.co.kr/news/newsView.php?id=20220210500107&wlog_tag3=naver,,"['살해', '경찰', '김씨', '지난해', '실종', '신고']",30,부모,어머니
94,2022.02.18.,가정폭력 집행유예 중 아내 살해한 40대 징역형,https://jejumbc.com/article/G4u_zc7UgNw,,"['가정폭력', '집행유예', '살해', '징역형']",40,아내,남편
95,2022.02.24.,"혼인신고 2년 만에 아내 살해한 40대… 법원, 징역 15년 선고",https://biz.chosun.com/topics/law_firm/2022/02/24/KAACRBGRNZBBPH6DLWMC7IKY5Y/?utm_source=naver&utm_medium=original&utm_campaign=biz,징역 15년,"['혼인신고', '살해', '법원', '징역', '선고']",40,아내,남편
96,2022.02.22.,"""나를 인신매매할 것 같아서""…지인 살해 50대, 1심 징역 13년",https://www.news1.kr/articles/?4593045,징역 13년,"['인신매매', '살해', '징역']",50,지인,지인
97,2022.02.18.,"""바람피웠지"" 수년간 의심…별거 아내 살해 60대 '징역 12년'",https://www.news1.kr/articles/?4589446,징역 12년,"['바람', '수년', '의심', '별거', '살해', '징역']",60,아내,남편
98,2022.02.17.,잔소리 참지 못해 아내 흉기로 살해한 40대 징역 15년,http://www.segye.com/content/html/2022/02/17/20220217512150.html?OutUrl=naver,징역 15년,"['잔소리', '흉기', '살해', '징역']",40,아내,남편
99,2022.02.16.,"이혼 소송 중 장검으로 아내 살해한 40대, 1심서 징역 20년 선고",https://view.asiae.co.kr/article/2022021616073076854,징역 20년,"['이혼', '소송', '장검', '살해', '징역', '선고']",40,아내,남편
100,2022.02.17.,아내 흉기로 살해 40대 징역 15년,http://www.jibs.co.kr/news/articles/articlesDetail/20911?feed=na,징역 15년,"['흉기', '살해', '징역']",40,아내,남편
101,2022.02.17.,가정폭력 집유 기간 아내 살해 제주 40대 징역 15년,http://www.jejusori.net/news/articleView.html?idxno=338563,징역 15년,"['가정폭력', '집유', '기간', '살해', '제주', '징역']",40,아내,남편
102,2022.02.18.,"'외도 의심' 별거중 아내 살해한 60대 남성, 징역 12년",https://imnews.imbc.com/news/2022/society/article/6342843_35673.html,징역 12년,"['외도', '의심', '별거', '살해', '남성', '징역']",60,아내,남편
103,2022.02.11.,"술 먹지 말랬다고 90대 노모 살해한 아들, 징역 14년",http://news.kmib.co.kr/article/view.asp?arcid=0016760104&code=61121211&cp=nv,징역 14년,"['말랬다', '살해', '징역']",90,노모,아들
104,2022.02.10.,"아내 살해하고 ""화 못 참았으니 심신미약""…70대 징역 8년",http://www.newsis.com/view/?id=NISX20220209_0001752845&cID=10201&pID=10200,징역 8년,"['살해', '심신', '미약', '징역']",70,아내,남편
105,2022.02.17.,"제주, 말다툼 하다 아내 살해한 40대 징역 15년",http://www.headlinejeju.co.kr/news/articleView.html?idxno=476668,징역 15년,"['제주', '말다툼', '살해', '징역']",40,아내,남편
106,2022.02.17.,"""잔소리했다고""…제주서 아내 살해 40대 '징역 15년'",http://www.jemin.com/news/articleView.html?idxno=732081,징역 15년,"['잔소리', '제주', '살해', '징역']",40,아내,남편
107,2022.02.18.,장인 앞에서 아내 '일본도'로 살해한 40대... 징역 20년 판결 불복해 항소,http://www.ltn.kr/news/articleView.html?idxno=34238,징역 20년,"['장인', '일본도', '살해', '징역', '판결', '불복', '항소']",40,아내,남편
108,2022.02.10.,"말다툼 끝에 아내 살해한 70대, 항소심서도 징역 8년",http://www.segye.com/content/html/2022/02/10/20220210503358.html?OutUrl=naver,징역 8년,"['말다툼', '살해', '항소심', '서도', '징역']",70,아내,남편
109,2022.02.10.,"""아들 돈 함부로 받지 마"" 낮잠 자던 아내 살해한 70대",https://news.sbs.co.kr/news/endPage.do?news_id=N1006634951&plink=ORI&cooper=NAVER,,"['아들', '함부로', '낮잠', '살해']",70,아내,남편
110,2022.02.11.,"""술 조금만 마셔"" 꾸지람에...90대 노모 살해한 아들, 징역 14년",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=4697614,징역 14년,"['조금', '꾸지람', '살해', '징역']",90,노모,아들
111,2022.02.03.,“빚 독촉에” 부모 살해미수 40대 아들…그래도 어머니는 용서했다,https://www.seoul.co.kr/news/newsView.php?id=20220203500009&wlog_tag3=naver,,"['독촉', '살해', '미수', '어머니', '용서']",40,부모,아들
112,2022.02.10.,"""아들 용돈 왜 받아""…말다툼 끝 아내 살해 70대 2심도 징역 8년",https://www.news1.kr/articles/?4579579,징역 8년,"['아들', '용돈', '말다툼', '살해', '징역']",70,아내,남편
113,2022.02.11.,"“술 조금만 마셔” 90대 노모 살해한 50대 아들, 징역 14년",https://www.hani.co.kr/arti/society/society_general/1030703.html,징역 14년,"['조금', '살해', '징역']",50,노모,아들
114,2022.02.16.,'장인 앞에서 아내 살해' 40대 남성 1심서 20년형,http://www.newspim.com/news/view/20220216000962,,"['장인', '살해', '남성']",40,아내,남편
115,2022.02.11.,"""아내 살해 기억 없어"" 50대 항소심도 징역 18년",http://www.daejonilbo.com/news/newsitem.asp?pk_no=1506051,징역 18년,"['살해', '기억', '항소심', '징역']",50,아내,남편
116,2022.02.18.,"""속죄한다""더니…장검으로 아내 살해한 40대 항소",http://www.newspim.com/news/view/20220218000379,,"['속죄', '더니', '장검', '살해', '항소']",40,아내,남편
117,2022.02.10.,아내 살해 후 극단 선택 시도한 60대…심신미약 주장,https://www.sedaily.com/NewsView/26236Y5WBC,,"['살해', '극단', '선택', '시도', '심신', '미약', '주장']",60,아내,남편
118,2022.02.17.,"가정폭력 40대 남편, 아내 살해 '실형'",http://www.newsjeju.net/news/articleView.html?idxno=374837,실형 ,"['가정폭력', '아내', '살해', '실형']",40,아내,남편
